Harvest ID,Date,Client,Project,Task,Notes,Hours,Billable?,Billable Rate
2699940250,2025-07-10,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2699953983,2025-07-10,Century Driving School,Century Driving Onramp misc,Rails Programming,Look at the cash receipts and the BC deletion code changes,2.41,Yes,110.0
2700820202,2025-07-11,Century Driving School,Century Driving Onramp misc,Admin,Following up on Grafana and Loki fixes stability,0.5,Yes,110.0
2701626512,2025-07-12,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2701636205,2025-07-12,Century Driving School,Century Driving Onramp misc,Design,Continue building out the Phone Conversations POC,2.92,Yes,110.0
2701709383,2025-07-13,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2702138104,2025-07-14,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2702163313,2025-07-14,Century Driving School,Century Driving Onramp misc,Rails Programming,Testing the cash receipts feature and working on the conversations app. Upgrading the bi-dev cluster before DO runs the upgrade itself,2.49,Yes,110.0
2703236087,2025-07-15,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2703254431,2025-07-15,Century Driving School,Century Driving Onramp misc,Admin,Continue to fix the bugs blocking the mandatory digital ocean upgrade for K8s.  Run specific versions of the requested reports for Adam,2.57,Yes,110.0
2704122850,2025-07-16,Century Driving School,Century Driving Onramp misc,Admin,"Discussions with Adam about the unpaid invoices report. It is working, but there is potential that any long running queries will hurt Onramp performance.",0.5,Yes,110.0
2704138534,2025-07-16,Century Driving School,Century Driving Onramp misc,Rails Programming,Continue finishing up the unpaid invoices report for Adam,1.75,Yes,110.0
2704406193,2025-07-16,Bomhof Integrated,Two Way Software,Admin,Try to get Prod ready for deployment.,1.75,No,
2704998117,2025-07-17,Century Driving School,Century Driving Onramp misc,Admin,Report of another pending transaction. I’ll need to dig into it. The problem has essentially disappeared since we made the AVS changes. ,0.5,Yes,110.0
2705016795,2025-07-17,Century Driving School,Century Driving Onramp misc,Rails Programming,Testing the cash receipts changes,1.98,Yes,110.0
2705919906,2025-07-18,Century Driving School,Century Driving Onramp misc,Admin,Meeting with Chelsea. Discussed the issue with some customers being able to click register twice for 1 roadtest. Discussed the new unpaid invoices report that Adam is using. Discussed cash receipts that is getting tested. ,0.58,Yes,110.0
2706178603,2025-07-18,Bomhof Integrated,Two Way Software,Programming,Fix the site and get the react component built for testing and production,2.66,No,
2706758021,2025-07-19,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2706769810,2025-07-19,Century Driving School,Century Driving Onramp misc,Admin,Fix the deployment to dev as it can't build for some reason,1.37,Yes,110.0
2706781690,2025-07-19,Bomhof Integrated,Two Way Software,Programming,Trying to get the new component to show up in kubernetes. Deployed the translation app on Production,2.37,No,
2706839179,2025-07-20,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2707263658,2025-07-21,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2707285981,2025-07-21,Century Driving School,Century Driving Onramp misc,Rails Programming,Continue looking into birth certs deletion and the cash receipts changes,1.65,Yes,110.0
2708094696,2025-07-21,Bomhof Integrated,Two Way Software,Project Management,Build a prompt and a plan for the LCP Project,2.01,No,
2708338369,2025-07-22,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2708354387,2025-07-22,Century Driving School,Century Driving Onramp misc,Rails Programming,Add the cash receipts to the Road Test admin purchase to close out a bug,1.45,Yes,110.0
2708442207,2025-07-22,Bomhof Integrated,Two Way Software,Project Management,Working on building a marketing strategy for SiteSpeak,0.18,No,
2708751186,2025-07-22,Century Driving School,Century Driving Onramp misc,Admin,Continue to work on fixing K8s issues blocking the upgrade,0.43,Yes,110.0
2709223663,2025-07-23,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2709240606,2025-07-23,Century Driving School,Century Driving Onramp misc,Admin,Continue working through upgrade fixes,1.45,Yes,110.0
2709296836,2025-07-23,Bomhof Integrated,Two Way Software,Programming,Working on adding the ability to skip specific paths when the widget is added to a site,1.33,No,
2710061821,2025-07-24,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2710084168,2025-07-24,Century Driving School,Century Driving Onramp misc,Admin,"Upgrade the RASA cluster, look at the phone app.",2.13,Yes,110.0
2710232717,2025-07-24,Bomhof Integrated,Two Way Software,Programming,Adding another script tag to the onramp side of the site.,0.51,No,
2710949227,2025-07-25,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2711766503,2025-07-26,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2711797058,2025-07-26,Bomhof Integrated,Two Way Software,Programming,Building out the first pass of the Forex auto trading system including details on how to use and procure the candle data to then use on the trading platform,0.99,No,
2711852594,2025-07-27,Century Driving School,Century Driving Onramp misc,Admin,Multiple attempts at getting the site to be performant. ,0.5,Yes,110.0
2711956334,2025-07-27,Bomhof Integrated,Internal,Accounting,Balancing QBO for last month,0.31,No,
2711963572,2025-07-27,Century Driving School,Century Driving Onramp misc,Admin,Checking on everything for the upgrade of Production. Applying the major upgrade and the patch upgrade to Production,1.44,Yes,110.0
2712291312,2025-07-28,Century Driving School,Century Driving Onramp misc,Admin,Digging into the few pendings that are still getting through. Looked through some performance requests. The timing is interesting because of the upgrade yesterday. I wonder if that newer version is using more resources?,0.5,Yes,110.0
2712315376,2025-07-28,Century Driving School,Century Driving Onramp misc,Admin,Continue from the upgrade last night and get Loki and Prometheus running again.,1.12,Yes,110.0
2712762524,2025-07-28,Century Driving School,Century Driving Onramp misc,Admin,Continue working on the Conversations POC,0.62,Yes,110.0
2713395738,2025-07-29,Century Driving School,Century Driving Onramp misc,Admin,Monitoring the restart K8s job that appears to be stuck.,0.5,Yes,110.0
2713415096,2025-07-29,Century Driving School,Century Driving Onramp misc,Admin,Looking into the problem with Pendings ( as reported by Onramp this time ) that show up on some accounts. Found that I can't log into Jenkins which could potentially be due to the upgrade of kubernetes over the weekend,1.27,Yes,110.0
2713507698,2025-07-29,Bomhof Integrated,Two Way Software,Admin,Adding MRT to the mix for SiteSpeak,3.35,No,
2714321434,2025-07-30,Century Driving School,Century Driving Onramp misc,Admin,Turning monitoring fully back on. Fixing Loki again. Digging into the Pendings,0.5,Yes,110.0
2714346926,2025-07-30,Bomhof Integrated,Two Way Software,Programming,Try to fix the admin metrics page and the change login issues.,0.88,No,
2715256059,2025-07-31,Century Driving School,Century Driving Onramp misc,Admin,"Checking if the system was fine because the daily email wasn’t in my inbox. Everything was okay, the email had been marked as spam for some reason. ",0.5,Yes,110.0
2715288086,2025-07-31,Bomhof Integrated,Two Way Software,Programming,Trying to clean up the admin page for deployment to Production. Removing the requirement for the original password as part of the Change password mechanism for the admin role.,1.53,No,
2716368108,2025-08-01,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2716507196,2025-08-01,Century Driving School,Century Driving Onramp misc,Admin,Meeting with Chelsea: Discussed MRT location pin. DDOS attack due to the PCI scan. Sounds like it was triggered by Adam on Monday but the language on the site was not obvious. Talked about the pending ( yellow ) OnRamp payments which I think are due to both the upgrade and the PCI scan. Discussed the “promotions” issue ( course comments ) on www.centurydriving.com. ,0.73,Yes,110.0
2716979839,2025-08-01,Bomhof Integrated,Two Way Software,Programming,Building out the auto training and auto refresh system including docs. Testing the full integration,2.0,No,
2717262426,2025-08-02,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2717308632,2025-08-02,Bomhof Integrated,Two Way Software,Programming,Continued on the patchtst tui ,0.65,No,
2717349862,2025-08-03,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2717783527,2025-08-04,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2717805277,2025-08-04,Bomhof Integrated,Internal,Accounting,Invoicing for July,0.29,No,
2717815848,2025-08-04,Century Driving School,Century Driving Onramp misc,Admin,Continue looking into finishing up the cash receipts feature,1.08,Yes,110.0
2718246764,2025-08-04,Bomhof Integrated,Two Way Software,Programming,Working through SiteSpeak metrics fixes. Also working on the patchTST TUI issues,4.19,No,
2718870352,2025-08-05,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2719804851,2025-08-06,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2719818155,2025-08-06,Century Driving School,Century Driving Onramp misc,Admin,Continued work on the cash receipts,1.71,Yes,110.0
2719922326,2025-08-06,Bomhof Integrated,Two Way Software,Programming,Continuing to work on the patchtst system,3.02,No,
2720663162,2025-08-07,Century Driving School,Century Driving Onramp misc,Admin,Troubleshooting a new Transnational error when a payment is transferred from one customer to another.,0.5,Yes,110.0
2720681016,2025-08-07,Century Driving School,Century Driving Onramp misc,Admin,Continue working on adding cash payment receipts to the road test payment,2.0,Yes,110.0
2721033008,2025-08-07,Bomhof Integrated,Two Way Software,Programming,Working on SiteSpeak and the stripe integration. Also working on live signals and trading off the signals on patchtst,0.91,No,
2721545294,2025-08-08,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2721573203,2025-08-08,Bomhof Integrated,Two Way Software,Design,Continued work on the patchtst system ,2.08,No,
2721584856,2025-08-08,Century Driving School,Century Driving Onramp misc,Admin,take a look at the possibility of setting up a backup process to use the old mechanism for cash. So some fallback while we figure out the Transnational side of things. Met with Chelsea about the cash payments and other swipe concerns. ,0.83,Yes,110.0
2722827064,2025-08-09,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2722877351,2025-08-09,Bomhof Integrated,Two Way Software,Programming,Continue on PatchTST,1.55,No,
2722930107,2025-08-09,Century Driving School,Century Driving Onramp misc,Support,Look into stability or stuck pods after a PCI Scan ran last night as requested by Adam,0.35,Yes,110.0
2723257429,2025-08-10,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2723344205,2025-08-10,Bomhof Integrated,Two Way Software,Programming,Continue working on the FX trading platform,2.29,No,
2723676878,2025-08-11,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2723698425,2025-08-11,Century Driving School,Century Driving Onramp misc,Rails Programming,Continue working through temporary fixes to the transnational cash payment error ,2.18,Yes,110.0
2723815089,2025-08-11,Bomhof Integrated,Two Way Software,Programming,Working on issue #6 for the FX Platform,1.43,No,
2724752246,2025-08-12,Century Driving School,Century Driving Onramp misc,Admin,Working through failing tests and upgrading each account to support CASH in the Celero Gateway,0.5,Yes,110.0
2724768344,2025-08-12,Century Driving School,Century Driving Onramp misc,Rails Programming,"Continue working through the ""Swipe"" changes so they work internally instead of reaching out to the payment gateway",2.0,Yes,110.0
2725015624,2025-08-12,Bomhof Integrated,Two Way Software,Programming,More work on the FX system,1.29,No,
2725616350,2025-08-13,Century Driving School,Century Driving Onramp misc,Admin,Working with Dave and Adam on 2FA issues since we don’t have access to Chelsea’s email. ,0.5,Yes,110.0
2725631106,2025-08-13,Century Driving School,Century Driving Onramp misc,Rails Programming,"Continue signing up for the cash transactions on Celero, get the swipe changes tested",1.37,Yes,110.0
2726032122,2025-08-13,Bomhof Integrated,Two Way Software,Programming,FX System live ( practice ) trades,1.5,No,
2726483525,2025-08-14,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2726497793,2025-08-14,Century Driving School,Century Driving Onramp misc,Admin,Contine testing the Swiped changes. ,1.51,Yes,110.0
2727016350,2025-08-14,Bomhof Integrated,Two Way Software,Programming,Trying to get real time OANDA data into the Dashboard,0.5,No,
2727377955,2025-08-15,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2727531521,2025-08-15,Century Driving School,Century Driving Onramp misc,Admin,"Meeting at the office and by text with Adam ( Adam didn't make it in. ) Continuing to discuss how to to sign up for the cash accounts in precision01, centurygroup accounts as Adam is now able to get into them to access the gateway void, refund operations",0.75,Yes,110.0
2728166013,2025-08-16,Century Driving School,Century Driving Onramp misc,Admin,Validate the system Pods restarted. Clear up Resque failures.  Go over exceptions.,0.5,Yes,110.0
2728181739,2025-08-16,Century Driving School,Century Driving Onramp misc,Project Management,Rework the QA pod to run a Claude Instance daily and let me know what it finds when it runs daily checks.,1.37,Yes,110.0
2728254558,2025-08-17,Century Driving School,Century Driving Onramp misc,Admin,"Check on status, validate all Pods are running. Check on tooling.",0.5,Yes,110.0
2728296812,2025-08-17,Century Driving School,Century Driving Onramp misc,Project Management,Continue rework the QA pod to run a Claude Instance daily and let me know what it finds when it runs daily checks.,1.24,Yes,110.0
2728680635,2025-08-18,Century Driving School,Century Driving Onramp misc,Admin,Kubernetes health check and Claude based hourly monitoring.,0.5,Yes,110.0
2728707123,2025-08-18,Century Driving School,Century Driving Onramp misc,Rails Programming,Finish up the other swipe changes that are currently not working correctly.,1.64,Yes,110.0
2729761836,2025-08-19,Century Driving School,Century Driving Onramp misc,Admin,Kubernetes status checks via Claude with bi hourly updates.,0.5,Yes,110.0
2729777088,2025-08-19,Century Driving School,Century Driving Onramp misc,Rails Programming,Fix the ui for swipe payments. Dig into Road test searches that were not returning expected results for 49424,2.0,Yes,110.0
2730317254,2025-08-19,Bomhof Integrated,Two Way Software,Admin,Fixed auto trade and adjusted real time data on current positions and risk.  ,1.5,No,
2730642625,2025-08-20,Century Driving School,Century Driving Onramp misc,Admin,Claude check scripts and K8s Monitoring reports. System is operational.,0.5,Yes,110.0
2730657449,2025-08-20,Century Driving School,Century Driving Onramp misc,Rails Programming,Digging into what is next for the React changes. Looking at existing PRs. See if any existing PRs can be closed out.,0.92,Yes,110.0
2731488793,2025-08-21,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2732065850,2025-08-21,Bomhof Integrated,Two Way Software,Design,Discussions with LCP about new client planning process. ,2.25,No,
2732354783,2025-08-22,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2732565810,2025-08-22,Century Driving School,Century Driving Onramp misc,Rails Programming,Start adding wolf creek enrollment process to API and follow with React changes,4.14,Yes,110.0
2733171624,2025-08-23,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2733257123,2025-08-24,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2733642337,2025-08-25,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2733664489,2025-08-25,Century Driving School,Century Driving Onramp misc,Rails Programming,Continue with Wolf creek enrollment addition,1.03,Yes,110.0
2734724705,2025-08-26,Century Driving School,Century Driving Onramp misc,Support,Discussions about program text changes in regards to potential refund policy changes.,0.5,Yes,110.0
2734740930,2025-08-26,Century Driving School,Century Driving Onramp misc,Rails Programming,Continue working through Wolf Creek changes and test deployment,2.58,Yes,110.0
2735163651,2025-08-26,Bomhof Integrated,Two Way Software,Programming,Working on the FX system. Modified how the training is used to generate signals,1.5,No,
2735682771,2025-08-27,Century Driving School,Century Driving Onramp misc,Support,"Working with SignNow Support to turn of the API subscription. I shutdown accessing it from OnRamp today, now making sure it will not re up - so cancelling it to make sure. It is now cancelled, the Web UI account is still active.",0.5,Yes,110.0
2735706491,2025-08-27,Century Driving School,Century Driving Onramp misc,Rails Programming,"Continue with Wolf creek changes deployment, but first turning off Sign Now",2.01,Yes,110.0
2736156691,2025-08-27,Bomhof Integrated,Two Way Software,Programming,Setting up live machine for the Alpha Vault Trading app,0.88,No,
2736658217,2025-08-28,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2737134249,2025-08-28,Century Driving School,Century Driving Onramp misc,Rails Programming,Continue working towards getting the new Wolf Creek changes deployed to the dev environment,0.85,Yes,110.0
2737626959,2025-08-29,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2738549459,2025-08-30,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2738653814,2025-08-31,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2738689960,2025-08-31,Century Driving School,Century Driving Onramp misc,Admin,Continue trying to boot up the new WolfCreek changes.,0.33,Yes,110.0
2739126778,2025-09-01,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2739306491,2025-09-01,Bomhof Integrated,Internal,Accounting,"Billing Century for August, September hosting",0.58,No,
2739396320,2025-09-01,Bomhof Integrated,Two Way Software,Project Management,Working at building out the first draft of the LCP Extension for managing client status,2.85,No,
2739768919,2025-09-02,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2739788005,2025-09-02,Century Driving School,Century Driving Onramp misc,Rails Programming,Continue working on WolfCreek startup,2.38,Yes,110.0
2740942311,2025-09-03,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2740956246,2025-09-03,Century Driving School,Century Driving Onramp misc,Rails Programming,Continue trying to solve caching issues with image building. ,1.88,Yes,110.0
2741903002,2025-09-04,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2741920011,2025-09-04,Century Driving School,Century Driving Onramp misc,Rails Programming,Fix deployment issues with Wolf Creek. Look at bad mapping links brought up by Adam,2.0,Yes,110.0
2742833287,2025-09-05,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2742856593,2025-09-05,Century Driving School,Century Driving Onramp misc,Rails Programming,Working on status monitor not sending hourly reports and using the latest build to start up Wolf creek,1.12,Yes,110.0
2742959504,2025-09-05,Century Driving School,Century Driving Onramp misc,Rails Programming,Continue working on WolfCreek startup issues,1.08,Yes,110.0
2743697873,2025-09-06,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2743728301,2025-09-06,Bomhof Integrated,Two Way Software,Programming,A number of things. Working on SiteSpeak and potentially other things,0.86,No,
2743786761,2025-09-07,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2744232301,2025-09-08,Century Driving School,Century Driving Onramp misc,Admin,Discussing new changes to an MRT site name and address with Adam.,0.5,Yes,110.0
2744252036,2025-09-08,Century Driving School,Century Driving Onramp misc,Rails Programming,Continue with small fixes to the WolfCreek enrollment process,2.02,Yes,110.0
2744755387,2025-09-08,Bomhof Integrated,Two Way Software,Programming,Adding in the fix to select a new plan at signup and handle balances on Site Speak,0.5,No,
2745358899,2025-09-09,Century Driving School,Century Driving Onramp misc,Admin,Continuing to work with Dave and Adam around the MRT site address change questions. ,0.5,Yes,110.0
2745375164,2025-09-09,Century Driving School,Century Driving Onramp misc,Rails Programming,Continue cleaning up the wolfcreek enrollment changes,1.3,Yes,110.0
2746300982,2025-09-10,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2746447874,2025-09-10,Century Driving School,Century Driving Onramp misc,Rails Programming,Continue testing fixes to Wolf Creek enrollment process,1.83,Yes,110.0
2746854960,2025-09-10,Bomhof Integrated,Two Way Software,Programming,Working on Grok Options prompt and FX app to look over the training data and OANDA transactions,2.12,No,
2747205470,2025-09-11,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2747223269,2025-09-11,Century Driving School,Century Driving Onramp misc,Rails Programming,See if Wolf Creek can be pushed out today.,2.13,Yes,110.0
2748103133,2025-09-12,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2748397143,2025-09-12,Bomhof Integrated,Two Way Software,Programming,Renewed the twoway software translate service certificates.  Was a little clunky but not too bad.,0.75,No,
2748957874,2025-09-13,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2749047405,2025-09-14,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2749512214,2025-09-15,Century Driving School,Century Driving Onramp misc,Admin,Discussions about WC and an address that is not correct. Still trying to figure out if the site has something that isn’t right on it. ,0.5,Yes,110.0
2749530619,2025-09-15,Century Driving School,Century Driving Onramp misc,Rails Programming,Clean up the calendar selection bits on the new Wolf Creek environment. Also dug into how to force a geocode update for the Coldwater location on Treat ave as that is having on off mapping url issues as passed to me by Adam.,2.04,Yes,110.0
2750456193,2025-09-15,Influxdb,Influxdb,Admin,"Meeting everyone, Nate going over the current setup and discussing next steps. ",0.63,Yes,145.0
2750645459,2025-09-16,Century Driving School,Century Driving Onramp misc,Admin,Remove the pending pod from Production. The overnight job to restart all pods is consistently not finishing fully due to either a pending startup or a terminating pod problem. Not sure if this is based on a versioning bug which will resolve itself? Or something else. So far no research has brought about a solution. Resource constraints do not seem to be the issue.,0.5,Yes,110.0
2750665369,2025-09-16,Century Driving School,Century Driving Onramp misc,Rails Programming,Continue testing the new latitude / longitude changes for the mapping,1.72,Yes,110.0
2751540531,2025-09-17,Century Driving School,Century Driving Onramp misc,Admin,Talking to Adam about the comm pages and potentially separating them out between companies. The text edit boxes are already there in admin -> cms but the specific separation has not been pushed out to each company yet.  ,0.5,Yes,110.0
2751556519,2025-09-17,Century Driving School,Century Driving Onramp misc,Rails Programming,See if the locations change is ready to Push up. Answer Adam's questions about the comm pages. Getting tests together to prove that the coordinates only map urls will not break current behavior.,2.16,Yes,110.0
2752395912,2025-09-18,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2752417482,2025-09-18,Century Driving School,Century Driving Onramp misc,Rails Programming,Continue verifying that the map changes with coordinates will not break existing behavior ,1.77,Yes,110.0
2753049994,2025-09-18,Influxdb,Influxdb,Rails Programming,Pulling the code and working at getting the Rails branch live.,0.54,Yes,145.0
2753272114,2025-09-19,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2754161515,2025-09-20,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2754282749,2025-09-21,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2754743359,2025-09-22,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2754763614,2025-09-22,Century Driving School,Century Driving Onramp misc,Admin,Try to get the last tests to complete testing the forced coordinates map url,1.96,Yes,110.0
2755578892,2025-09-22,Influxdb,Influxdb,Rails Programming,Starting on reworking the list of views to be compatible with Rails changes,1.25,Yes,145.0
2755645543,2025-09-22,Influxdb,Influxdb,Rails Programming,Weekly status meeting. Discussion with Nate about the page(s) system I had built out so far.  I ended up pushing up a PR for us to discuss more.,0.76,Yes,145.0
2755847275,2025-09-23,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2755871860,2025-09-23,Century Driving School,Century Driving Onramp misc,Rails Programming,Cleaning up the last few tests on the mapping changes,1.47,Yes,110.0
2756752126,2025-09-24,Century Driving School,Century Driving Onramp misc,Admin,Making sure that all the pods restarted last night and that the resque daemon is running correctly. Verified that the map url changes worked as expected and did not produce any new exceptions.,0.5,Yes,110.0
2757629725,2025-09-25,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2758521315,2025-09-26,Century Driving School,Century Driving Onramp misc,Rails Programming,"Emergency fix up of the gateway URL. Celero deleted their redirect, we didn't have any advanced notice sent to us on that front, so at 5:00pm employees were reporting 500 errors from the Gateway. We researched the issue from a neutral zone, found out that the url didn't work any more and used the url that used to be the redirected one.  ",1.75,Yes,110.0
2759356210,2025-09-26,Century Driving School,Century Driving Onramp misc,Admin,fix nmi billing certificate issue,1.25,Yes,110.0
2759389055,2025-09-27,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
2759485270,2025-09-28,Century Driving School,Century Driving Onramp misc,Support,Overnight Support; Ready to Serve,0.5,Yes,110.0
